"question","answer"
"What is AI?","Artificial Intelligence is the simulation of human intelligence in machines."
"What is Machine Learning?","Machine Learning is a subset of AI that enables computers to learn from data."
"What is Deep Learning?","Deep Learning is a subset of Machine Learning that uses neural networks with multiple layers to analyze data."
"What is a Neural Network?","A Neural Network is a computing system inspired by the human brain, consisting of interconnected nodes (neurons) that process data."
"What is Natural Language Processing (NLP)?","NLP is a field of AI that enables machines to understand, interpret, and generate human language."
"What is Supervised Learning?","Supervised Learning is a type of Machine Learning where the model is trained on labeled data."
"What is Unsupervised Learning?","Unsupervised Learning is a type of Machine Learning where the model learns patterns from unlabeled data."
"What is Reinforcement Learning?","Reinforcement Learning is a Machine Learning paradigm where an agent learns by interacting with an environment and receiving rewards or penalties."
"What is Overfitting?","Overfitting occurs when a model learns too much from the training data, capturing noise instead of general patterns, leading to poor performance on new data."
"What is Underfitting?","Underfitting occurs when a model is too simple to capture the underlying patterns in the data, leading to poor performance on both training and test data."
"What is a Dataset?","A Dataset is a collection of data used to train and evaluate Machine Learning models."
"What is a Feature in Machine Learning?","A Feature is an individual measurable property or characteristic of a dataset used by a Machine Learning model."
"What is a Label in Machine Learning?","A Label is the outcome or target variable in supervised learning that the model is trained to predict."
"What is a Loss Function?","A Loss Function measures the difference between the predicted output of a model and the actual target values."
"What is Gradient Descent?","Gradient Descent is an optimization algorithm used to minimize a loss function by adjusting model parameters iteratively."
"What is a Hyperparameter?","A Hyperparameter is a parameter whose value is set before the learning process begins and is not learned from the data."
"What is Cross-Validation?","Cross-Validation is a technique used to assess the performance of a model by dividing the dataset into training and validation sets multiple times."
"What is a Confusion Matrix?","A Confusion Matrix is a table used to evaluate the performance of a classification model by comparing predicted and actual labels."
"What is Precision in Machine Learning?","Precision is the ratio of true positive predictions to the total predicted positives, indicating the accuracy of positive predictions."
"What is Recall in Machine Learning?","Recall is the ratio of true positive predictions to the total actual positives, indicating the model's ability to identify all relevant instances."
"What is F1 Score?","F1 Score is the harmonic mean of precision and recall, providing a balance between the two metrics."
"What is ROC Curve?","ROC Curve is a graphical representation of a model's performance across different thresholds, plotting true positive rate against false positive rate."
"What is AUC?","AUC (Area Under the Curve) measures the entire two-dimensional area underneath the ROC curve, indicating the model's ability to distinguish between classes."
"What is a Decision Tree?","A Decision Tree is a flowchart-like structure used for classification and regression, where each internal node represents a feature, each branch represents a decision rule, and each leaf node represents an outcome."
"What is Random Forest?","Random Forest is an ensemble learning method that constructs multiple decision trees and merges them to improve accuracy and control overfitting."
"What is Data Science?","Data Science is an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowledge and insights from structured and unstructured data."
"What is Big Data?","Big Data refers to extremely large datasets that cannot be processed or analyzed using traditional data processing tools."
"What is Cloud Computing?","Cloud Computing is the delivery of computing services over the internet, including storage, processing, and software, on a pay-as-you-go basis."
"What is the Internet of Things (IoT)?","The Internet of Things (IoT) refers to the network of physical devices connected to the internet, capable of collecting and exchanging data."
"What is Blockchain?","Blockchain is a decentralized, distributed ledger technology that records transactions across multiple computers securely and transparently."
"What is a Chatbot?","A Chatbot is an AI application that simulates human conversation through text or voice interactions."
"What is Computer Vision?","Computer Vision is a field of AI that enables machines to interpret and understand visual information from the world."
"What is Image Recognition?","Image Recognition is a technology that enables machines to identify and classify objects within images."
"What is Speech Recognition?","Speech Recognition is the technology that enables machines to understand and process human speech."
"What is a Recurrent Neural Network (RNN)?","A Recurrent Neural Network (RNN) is a type of neural network designed for sequential data, where connections between nodes can create cycles, allowing information to persist."
"What is a Convolutional Neural Network (CNN)?","A Convolutional Neural Network (CNN) is a type of deep learning model primarily used for image processing, which uses convolutional layers to automatically learn spatial hierarchies of features."
"What is Transfer Learning?","Transfer Learning is a technique in machine learning where a model developed for one task is reused as the starting point for a model on a second task."
"What is a Support Vector Machine (SVM)?","A Support Vector Machine (SVM) is a supervised learning algorithm used for classification and regression tasks, which finds the hyperplane that best separates different classes in the feature space."
"What is K-Means Clustering?","K-Means Clustering is an unsupervised learning algorithm that partitions data into K distinct clusters based on feature similarity."
"What is Principal Component Analysis (PCA)?","Principal Component Analysis (PCA) is a dimensionality reduction technique that transforms data into a lower-dimensional space while preserving as much variance as possible."
"What is a Generative Adversarial Network (GAN)?","A Generative Adversarial Network (GAN) is a class of machine learning frameworks where two neural networks contest with each other to generate new, synthetic instances of data."
"What is a Hyperparameter Tuning?","Hyperparameter Tuning is the process of optimizing the hyperparameters of a machine learning model to improve its performance."
"What is a Data Pipeline?","A Data Pipeline is a series of data processing steps that involve collecting, processing, and storing data for analysis."
"What is Feature Engineering?","Feature Engineering is the process of using domain knowledge to create features that make machine learning algorithms work better."
"What is a Model Deployment?","Model Deployment is the process of integrating a machine learning model into an existing production environment to make predictions on new data."
"What is a Model Evaluation?","Model Evaluation is the process of assessing the performance of a machine learning model using various metrics and validation techniques."
"What is a Data Warehouse?","A Data Warehouse is a centralized repository for storing and managing large volumes of structured and unstructured data from multiple sources."
"Who is Chodna?","Chodna is a real life character who studies in the collage name of CCP called as chandra sekhar ghosh. He is famous as the greatest chodna of the world."
